USER               PID  %CPU %MEM      VSZ    RSS   TT  STAT STARTED      TIME COMMAND
mateseries       51571   3.9  0.6  4613264 100968   ??  R     1:26下午   0:40.13 /Applications/Utilities/Terminal.app/Contents/MacOS/Terminal
mateseries        1756   3.4  2.8 10710312 465292   ??  S    121117  192:36.98 /Applications/XMind.app/Contents/MacOS/XMind
_windowserver      138   2.5  1.8  7937184 305344   ??  Us   121117  118:43.66 /System/Library/PrivateFrameworks/SkyLight.framework/Resources/WindowServer -daemon
mateseries       13380   1.9  0.6  4796712 105624   ??  S    201117    2:31.88 /Library/Input Methods/SogouInput.app/Contents/MacOS/SogouInput
mateseries         980   1.6  9.7  8687744 1622660   ??  R    121117  112:35.78 /Applications/PyCharm.app/Contents/MacOS/pycharm
mateseries        1547   0.0  0.1  4351772  20016   ??  Ss   121117    0:02.93 /System/Library/Frameworks/Metal.framework/Versions/A/XPCServices/MTLCompilerService.xpc/Contents/MacOS/MTLCompilerService
root              1546   0.0  0.0  4339076   7264   ??  Ss   121117    0:03.99 /usr/libexec/dprivacyd
mateseries        1544   0.0  0.0  4304704   7424   ??  Ss   121117    0:00.01 /System/Library/Frameworks/AudioToolbox.framework/XPCServices/com.apple.audio.SandboxHelper.xpc/Contents/MacOS/com.apple.audio.SandboxHelper
mateseries        1542   0.0  0.0  4334628   7136   ??  S    121117    0:01.73 /System/Library/Frameworks/AudioToolbox.framework/AudioComponentRegistrar
mateseries        1541   0.0  0.0  4304924   4656   ??  S    121117    0:01.87 /System/Library/Frameworks/MediaAccessibility.framework/Versions/A/XPCServices/com.apple.accessibility.mediaaccessibilityd.xpc/Contents/MacOS/com.apple.accessibility.mediaaccessibilityd
mateseries        1530   0.0  0.1  4386080  12480   ??  S    121117    2:50.92 /System/Library/PrivateFrameworks/SafariSafeBrowsing.framework/com.apple.Safari.SafeBrowsing.Service
mateseries        1525   0.0  2.3  6387048 379364   ??  Ss   121117    3:19.56 /System/Library/Frameworks/WebKit.framework/Versions/A/XPCServices/com.apple.WebKit.WebContent.xpc/Contents/MacOS/com.apple.WebKit.WebContent
mateseries        1416   0.0  0.0  4307644   4960   ??  S    121117    0:01.80 /usr/libexec/spindump_agent
root              1415   0.0  0.5  4577568  89260   ??  Ss   121117    0:17.34 /usr/sbin/spindump
mateseries         989   0.0  0.0  4304676   4520   ??  S    121117    0:19.07 /Applications/PyCharm.app/Contents/bin/fsnotifier
mateseries         981   0.0  0.1  4365724  19316   ??  Ss   121117    0:01.93 /System/Library/Frameworks/Metal.framework/Versions/A/XPCServices/MTLCompilerService.xpc/Contents/MacOS/MTLCompilerService
mateseries         973   0.0  0.1  4361628  19004   ??  Ss   121117    0:01.87 /System/Library/Frameworks/Metal.framework/Versions/A/XPCServices/MTLCompilerService.xpc/Contents/MacOS/MTLCompilerService
mateseries         928   0.0  0.2  4344236  30440   ??  S    121117    0:23.21 /usr/libexec/routined LAUNCHED_BY_LAUNCHD
mateseries         925   0.0  0.1  4331280  16496   ??  S    121117    0:03.11 /System/Library/PrivateFrameworks/IMDPersistence.framework/IMAutomaticHistoryDeletionAgent.app/Contents/MacOS/IMAutomaticHistoryDeletionAgent
mateseries         907   0.0  0.1  4331892   8456   ??  S    121117    0:03.34 /usr/libexec/silhouette
mateseries         904   0.0  0.4  4590240  58812   ??  S    121117    0:14.83 /System/Library/Frameworks/CoreServices.framework/Frameworks/Metadata.framework/Versions/A/Support/corespotlightd
mateseries         894   0.0  0.5  4749584  75868   ??  Ss   121117    0:27.02 /System/Library/CoreServices/Siri.app/Contents/XPCServices/SiriNCService.xpc/Contents/MacOS/SiriNCService
mateseries         884   0.0  0.0  4304984   5116   ??  S    121117    0:03.10 /System/Library/Frameworks/ApplicationServices.framework/Versions/A/Frameworks/HIServices.framework/Versions/A/XPCServices/com.apple.hiservices-xpcservice.xpc/Contents/MacOS/com.apple.hiservices-xpcservice
root               880   0.0  0.1  4349324  20448   ??  Ss   121117    0:01.85 /System/Library/Frameworks/Metal.framework/Versions/A/XPCServices/MTLCompilerService.xpc/Contents/MacOS/MTLCompilerService
mateseries         873   0.0  0.1  4342540  18768   ??  S    121117    0:12.36 /System/Library/PrivateFrameworks/CommerceKit.framework/Resources/LaterAgent.app/Contents/MacOS/LaterAgent
mateseries         872   0.0  0.1  4331816  13348   ??  S    121117    0:01.68 /System/Library/PrivateFrameworks/CommerceKit.framework/Versions/A/Resources/storelegacy
mateseries         870   0.0  0.1  4305640  11148   ??  S    121117    0:02.04 /System/Library/CoreServices/Software Update.app/Contents/Resources/softwareupdate_notify_agent
mateseries         859   0.0  0.1  4405444  15360   ??  Ss   121117    0:05.61 /System/Library/PrivateFrameworks/CommerceKit.framework/Versions/A/XPCServices/com.apple.CommerceKit.TransactionService.xpc/Contents/MacOS/com.apple.CommerceKit.TransactionService
root               846   0.0  0.0  4331036   2236   ??  Ss   121117    0:01.76 /System/Library/Frameworks/CoreMediaIO.framework/Versions/A/XPCServices/com.apple.cmio.registerassistantservice.xpc/Contents/MacOS/com.apple.cmio.registerassistantservice
mateseries         844   0.0  0.1  4333276  15952   ??  S    121117    0:03.33 /System/Library/PrivateFrameworks/CallHistory.framework/Support/CallHistoryPluginHelper
mateseries         839   0.0  0.1  5391260  14728   ??  Ss   121117    0:09.77 /System/Library/Frameworks/WebKit.framework/Versions/A/XPCServices/com.apple.WebKit.Databases.xpc/Contents/MacOS/com.apple.WebKit.Databases
mateseries         837   0.0  0.4  5515936  75296   ??  Ss   121117    5:16.07 /System/Library/Frameworks/WebKit.framework/Versions/A/XPCServices/com.apple.WebKit.Networking.xpc/Contents/MacOS/com.apple.WebKit.Networking
mateseries         836   0.0  0.2  4436848  29460   ??  Ss   121117    0:13.70 /System/Library/CoreServices/Dock.app/Contents/XPCServices/com.apple.dock.extra.xpc/Contents/MacOS/com.apple.dock.extra
mateseries         835   0.0  0.1  4357532  22152   ??  Ss   121117    0:01.85 /System/Library/Frameworks/Metal.framework/Versions/A/XPCServices/MTLCompilerService.xpc/Contents/MacOS/MTLCompilerService
mateseries         833   0.0  0.1  4374300  24372   ??  Ss   121117    0:01.97 /System/Library/Frameworks/Metal.framework/Versions/A/XPCServices/MTLCompilerService.xpc/Contents/MacOS/MTLCompilerService
mateseries         830   0.0  0.3  4531056  53984   ??  S    121117    0:25.23 /System/Library/CoreServices/Spotlight.app/Contents/MacOS/Spotlight
mateseries         829   0.0  0.1  4343720  18560   ??  S    121117    0:11.89 /System/Library/PrivateFrameworks/CommerceKit.framework/Versions/A/Resources/storeuid.app/Contents/MacOS/storeuid
mateseries         826   0.0  0.0  4296696   4308   ??  S    121117    0:00.01 /System/Library/PrivateFrameworks/StoreXPCServices.framework/Versions/A/XPCServices/com.apple.appstore.PluginXPCService.xpc/Contents/MacOS/com.apple.appstore.PluginXPCService
mateseries         824   0.0  0.1  4353436  19104   ??  Ss   121117    0:01.79 /System/Library/Frameworks/Metal.framework/Versions/A/XPCServices/MTLCompilerService.xpc/Contents/MacOS/MTLCompilerService
mateseries         823   0.0  0.1  4353436  19316   ??  Ss   121117    0:01.79 /System/Library/Frameworks/Metal.framework/Versions/A/XPCServices/MTLCompilerService.xpc/Contents/MacOS/MTLCompilerService
mateseries         820   0.0  0.1  4378564  22304   ??  S    121117    0:15.28 /System/Library/PrivateFrameworks/CommerceKit.framework/Versions/A/Resources/storeassetd
mateseries         819   0.0  0.1  4375580  24420   ??  S    121117    0:12.65 /System/Library/PrivateFrameworks/CoreParsec.framework/parsecd
mateseries         818   0.0  0.1  4448668  16312   ??  S    121117    0:13.63 /System/Library/CoreServices/Menu Extras/TextInput.menu/Contents/SharedSupport/TISwitcher.app/Contents/MacOS/TISwitcher
mateseries         817   0.0  0.2  4337068  30080   ??  S    121117    0:06.41 /System/Library/PrivateFrameworks/SafariShared.framework/Versions/A/XPCServices/com.apple.Safari.History.xpc/Contents/MacOS/com.apple.Safari.History
mateseries         814   0.0  0.4  4579772  61320   ??  S    121117    0:20.66 /Applications/Alfred 3.app/Contents/MacOS/Alfred 3
mateseries         812   0.0  0.3  4538876  54976   ??  S    121117    0:21.97 /Applications/Evernote.app/Contents/Library/LoginItems/EvernoteHelper.app/Contents/MacOS/EvernoteHelper
mateseries         807   0.0  0.1  4306216   9820   ??  S    121117    0:01.80 /System/Library/Frameworks/CryptoTokenKit.framework/ctkd -tw
mateseries         805   0.0  0.1  4305736  10116   ??  S    121117    0:00.65 /System/Library/Frameworks/CryptoTokenKit.framework/ctkahp.bundle/Contents/MacOS/ctkahp
mateseries         804   0.0  0.0  4334308   7432   ??  S    121117    0:02.25 /System/Library/CoreServices/backgroundtaskmanagementagent
mateseries         802   0.0  0.1  4384520  19640   ??  S    121117    0:23.21 /System/Library/PrivateFrameworks/Noticeboard.framework/Versions/A/Resources/nbagent.app/Contents/MacOS/nbagent
mateseries         801   0.0  0.1  4339256  13472   ??  S    121117    0:13.88 /System/Library/CoreServices/AirPlayUIAgent.app/Contents/MacOS/AirPlayUIAgent --launchd
mateseries         798   0.0  0.1  4334044  15128   ??  S    121117    0:02.19 /System/Library/Image Capture/Support/icdd
mateseries         794   0.0  0.1  4330696  10624   ??  S    121117    0:03.70 /System/Library/CoreServices/SocialPushAgent.app/Contents/MacOS/SocialPushAgent
mateseries         790   0.0  0.1  4333652  11696   ??  S    121117    0:03.42 /System/Library/PrivateFrameworks/FileProvider.framework/Support/fileproviderd
mateseries         787   0.0  1.5  6055632 254340   ??  R    121117    3:39.20 /System/Library/CoreServices/Finder.app/Contents/MacOS/Finder
mateseries         785   0.0  0.8  4676572 136812   ??  S    121117    1:42.71 /System/Library/CoreServices/Dock.app/Contents/MacOS/Dock
mateseries         782   0.0  2.5  7426728 423296   ??  S    121117   27:02.10 /Applications/Safari.app/Contents/MacOS/Safari -psn_0_143395
root               621   0.0  0.0  4304884   4472   ??  Ss   121117    0:00.01 /System/Library/PrivateFrameworks/InstallerDiagnostics.framework/Versions/A/Resources/installerdiagd
mateseries         568   0.0  0.2  4393304  30144   ??  S    121117    1:22.93 /System/Library/PrivateFrameworks/GameCenterFoundation.framework/Versions/A/gamed
mateseries         567   0.0  0.1  4337608  18500   ??  S    121117    0:03.54 /System/Library/PrivateFrameworks/CallHistory.framework/Support/CallHistorySyncHelper
mateseries         566   0.0  0.1  4381276  17908   ??  S    121117    0:26.75 /usr/libexec/keyboardservicesd
mateseries         565   0.0  0.1  4331100  22468   ??  S    121117    1:12.74 /usr/libexec/SafariCloudHistoryPushAgent
mateseries         564   0.0  0.1  4375932  16836   ??  S    121117    0:12.28 /System/Library/CoreServices/mapspushd
root               548   0.0  0.1  4335424  12228   ??  Ss   121117    0:01.80 /System/Library/CoreServices/AppleIDAuthAgent --checkpassword
mateseries         547   0.0  0.1  4335020  11744   ??  S    121117    0:01.91 /System/Library/Frameworks/CoreServices.framework/Frameworks/Metadata.framework/Versions/A/Support/mdworker -s mdworker-sizing -c MDSSizingWorker -m com.apple.mdworker.sizing
_spotlight         546   0.0  0.1  4333264  11572   ??  S    121117    0:02.13 /System/Library/Frameworks/CoreServices.framework/Frameworks/Metadata.framework/Versions/A/Support/mdworker -s mdworker-sizing -c MDSSizingWorker -m com.apple.mdworker.sizing
_spotlight         545   0.0  0.0  4305588   3076   ??  S    121117    0:07.88 /usr/sbin/distnoted agent
_spotlight         528   0.0  0.1  4334004   9224   ??  S    121117    0:12.67 /usr/libexec/trustd --agent
root               524   0.0  0.1  4374152  10028   ??  Ss   121117    0:14.10 /usr/libexec/rtcreportingd
root               523   0.0  0.1  4340888  13584   ??  Ss   121117    0:03.34 /System/Library/CoreServices/Software Update.app/Contents/Resources/suhelperd
_softwareupdate    522   0.0  0.8  5624604 127624   ??  Ss   121117    7:21.43 /System/Library/CoreServices/Software Update.app/Contents/Resources/softwareupdated
mateseries         521   0.0  0.1  4330948   9140   ??  S    121117    0:03.16 /System/Library/Frameworks/LocalAuthentication.framework/Support/coreauthd
mateseries         520   0.0  0.2  4345784  37932   ??  S    121117    0:14.75 /System/Library/PrivateFrameworks/AssistantServices.framework/assistant_service
mateseries         518   0.0  0.0  4339116   5936   ??  S    121117    0:03.03 /System/Library/PrivateFrameworks/ContextKit.framework/Versions/A/XPCServices/ContextService.xpc/Contents/MacOS/ContextService
mateseries         517   0.0  0.1  4331184  18304   ??  Ss   121117    0:01.88 /System/Library/PrivateFrameworks/PhotoLibrary.framework/Versions/A/XPCServices/com.apple.PhotoIngestService.xpc/Contents/MacOS/com.apple.PhotoIngestService
root               516   0.0  0.1  4331368   9316   ??  Ss   121117    0:02.20 /System/Library/CoreServices/SubmitDiagInfo server-init
mateseries         515   0.0  0.1  4330624  18352   ??  Ss   121117    0:01.78 /System/Library/PrivateFrameworks/PhotoLibraryPrivate.framework/Versions/A/Frameworks/PhotoLibraryServices.framework/Versions/A/XPCServices/com.apple.photomoments.xpc/Contents/MacOS/com.apple.photomoments
mateseries         514   0.0  0.2  4367328  27456   ??  Ss   121117    0:04.04 /System/Library/PrivateFrameworks/PhotoLibraryPrivate.framework/Versions/A/Frameworks/PhotoLibraryServices.framework/Versions/A/XPCServices/com.apple.photomodel.xpc/Contents/MacOS/com.apple.photomodel
mateseries         513   0.0  0.1  4376168   9752   ??  S    121117    0:11.84 /System/Library/PrivateFrameworks/AssetCacheServices.framework/Versions/A/XPCServices/AssetCacheLocatorService.xpc/Contents/MacOS/AssetCacheLocatorService -a
mateseries         500   0.0  0.2  4377256  26724   ??  Ss   121117    0:04.14 /System/Library/Frameworks/MediaLibrary.framework/Versions/A/XPCServices/com.apple.MediaLibraryService.xpc/Contents/MacOS/com.apple.MediaLibraryService
mateseries         492   0.0  0.1  4335056  11328   ??  Ss   121117    0:02.30 /Library/Frameworks/iTunesLibrary.framework/Versions/A/XPCServices/com.apple.iTunesLibraryService.xpc/Contents/MacOS/com.apple.iTunesLibraryService
mateseries         489   0.0  0.1  4343196  12916   ??  Ss   121117    0:09.36 /System/Library/PrivateFrameworks/CloudDocsDaemon.framework/XPCServices/ContainerMetadataExtractor.xpc/Contents/MacOS/ContainerMetadataExtractor
mateseries         488   0.0  0.1  4304884  15288   ??  Ss   121117    0:03.21 /System/Library/PrivateFrameworks/AssistantServices.framework/Versions/A/XPCServices/media-indexer.xpc/Contents/MacOS/media-indexer
mateseries         481   0.0  0.1  4391548  23584   ??  S    121117    0:05.15 /System/Library/PrivateFrameworks/PhotoLibraryPrivate.framework/Versions/A/Support/photolibraryd
root               478   0.0  0.0  4305532   6484   ??  Ss   121117    0:00.91 /usr/sbin/filecoordinationd
mateseries         477   0.0  0.4  4584468  66128   ??  S    121117    0:07.24 /System/Library/CoreServices/iconservicesagent
root               474   0.0  0.1  4335736  12300   ??  Ss   121117    0:03.80 /usr/libexec/amfid
mateseries         472   0.0  0.1  4379784  23424   ??  S    121117    0:19.64 /System/Library/PrivateFrameworks/CommerceKit.framework/Versions/A/Resources/commerce
mateseries         471   0.0  0.1  4336516  14192   ??  S    121117    0:10.51 /System/Library/Frameworks/InputMethodKit.framework/Resources/imklaunchagent
root               463   0.0  0.0  4332324   6664   ??  Ss   121117    0:01.97 /usr/bin/sysdiagnose
root               462   0.0  0.7  4468716 116616   ??  Ss   121117    0:33.06 /System/Library/PrivateFrameworks/PackageKit.framework/Resources/system_installd
mateseries         460   0.0  0.1  5596900  19116   ??  S    121117   31:20.74 /System/Library/PrivateFrameworks/CommerceKit.framework/Versions/A/Resources/storedownloadd
root               459   0.0  0.2  4559112  30652   ??  Ss   121117   93:19.53 /System/Library/PrivateFrameworks/PackageKit.framework/Resources/installd
mateseries         458   0.0  0.1  4333700  15612   ??  S    121117    0:05.62 /System/Library/CoreServices/diagnostics_agent
mateseries         457   0.0  0.1  4335348   8936   ??  S    121117    0:02.70 /System/Library/PrivateFrameworks/CacheDelete.framework/deleted
mateseries         450   0.0  0.2  4358584  25264   ??  S    121117    0:03.73 /System/Library/PrivateFrameworks/CloudPhotoServices.framework/Versions/A/Frameworks/CloudPhotosConfigurationXPC.framework/Versions/A/XPCServices/com.apple.CloudPhotosConfiguration.xpc/Contents/MacOS/com.apple.CloudPhotosConfiguration
mateseries         449   0.0  0.1  4342560  13968   ??  S    121117    0:13.16 /System/Library/CoreServices/CoreLocationAgent.app/Contents/MacOS/CoreLocationAgent
mateseries         448   0.0  0.1  4351388  19240   ??  Ss   121117    0:01.85 /System/Library/Frameworks/Metal.framework/Versions/A/XPCServices/MTLCompilerService.xpc/Contents/MacOS/MTLCompilerService
mateseries         446   0.0  0.1  4308264  16200   ??  S    121117    0:03.71 /System/Library/PrivateFrameworks/CommerceKit.framework/Versions/A/Resources/storeaccountd
mateseries         441   0.0  0.1  4336440  16900   ??  S    121117    0:13.27 /usr/libexec/knowledge-agent
mateseries         440   0.0  0.1  4331312  18284   ??  S    121117    0:03.13 /usr/libexec/siriknowledged
mateseries         439   0.0  0.1  4384492  20424   ??  S    121117    0:12.56 /System/Library/CoreServices/AppleIDAuthAgent
mateseries         438   0.0  0.2  4338244  25636   ??  S    121117    0:13.61 /System/Library/PrivateFrameworks/CloudDocsDaemon.framework/Versions/A/Support/bird
mateseries         437   0.0  0.1  4332640   8820   ??  S    121117    0:03.03 /usr/libexec/swcd
mateseries         436   0.0  0.3  4408408  50156   ??  S    121117    0:22.37 /System/Library/PrivateFrameworks/AssistantServices.framework/assistantd
mateseries         433   0.0  0.1  4333676  15120   ??  S    121117    0:17.02 /usr/libexec/pkd
mateseries         430   0.0  0.1  4371596  22788   ??  S    121117    0:21.76 /System/Library/Frameworks/ApplicationServices.framework/Frameworks/ATS.framework/Support/fontd
mateseries         429   0.0  0.1  4337688  14012   ??  S    121117    0:13.45 /System/Library/CoreServices/talagent
mateseries         428   0.0  0.1  4339832  13912   ??  S    121117    0:03.84 /System/Library/PrivateFrameworks/NotesShared.framework/Versions/A/XPCServices/com.apple.Notes.datastore.xpc/Contents/MacOS/com.apple.Notes.datastore
mateseries         427   0.0  0.2  4337020  30428   ??  S    121117    1:12.99 /System/Library/CoreServices/SafariSupport.bundle/Contents/MacOS/SafariBookmarksSyncAgent
mateseries         426   0.0  0.0  4305540   7844   ??  S    121117    0:07.34 /usr/libexec/pboard
root               425   0.0  0.0  4332496   8076   ??  Ss   121117    0:01.67 /System/Library/PrivateFrameworks/TCC.framework/Resources/tccd system
root               424   0.0  0.1  4336032   9324   ??  Ss   121117    0:03.74 /usr/sbin/systemsoundserverd
root               423   0.0  0.1  4332516  12296   ??  Ss   121117    0:02.17 /usr/libexec/secinitd
root               422   0.0  0.1  4331844   9800   ??  Ss   121117    0:03.19 /System/Library/PrivateFrameworks/AmbientDisplay.framework/Versions/A/XPCServices/com.apple.AmbientDisplayAgent.xpc/Contents/MacOS/com.apple.AmbientDisplayAgent
mateseries         421   0.0  0.1  4332460   8556   ??  S    121117    0:03.43 /System/Library/CoreServices/sharedfilelistd
root               419   0.0  0.0  4304952   3948   ??  Ss   121117    0:00.10 /System/Library/PrivateFrameworks/SignpostNotification.framework/Versions/A/XPCServices/signpost_notificationd.xpc/Contents/MacOS/signpost_notificationd
mateseries         418   0.0  0.1  4389152  24696   ??  S    121117    0:21.14 /System/Library/PrivateFrameworks/CloudServices.framework/Versions/A/XPCServices/com.apple.sbd.xpc/Contents/MacOS/com.apple.sbd
root               417   0.0  0.2  4371268  29552   ??  Ss   121117    0:05.23 /System/Library/Frameworks/ApplicationServices.framework/Frameworks/SpeechSynthesis.framework/Resources/com.apple.speech.speechsynthesisd
mateseries         416   0.0  0.1  4304972  16228   ??  S    121117    0:13.87 /System/Library/PrivateFrameworks/ContactsAgent.framework/Executables/ContactsAgent
mateseries         415   0.0  0.2  4338836  31568   ??  Ss   121117    0:12.57 /System/Library/PrivateFrameworks/CalendarNotification.framework/Versions/A/XPCServices/CalNCService.xpc/Contents/MacOS/CalNCService
mateseries         414   0.0  0.1  4331948  19984   ??  S    121117    0:24.03 /System/Library/CoreServices/cloudpaird
mateseries         413   0.0  0.0  4333744   7952   ??  S    121117    0:02.46 /System/Library/CoreServices/pbs
_applepay          412   0.0  0.0  4331432   7428   ??  Ss   121117    0:02.13 /usr/libexec/nfcd
mateseries         411   0.0  0.1  4377100  12840   ??  S    121117    0:14.60 /System/Library/PrivateFrameworks/GeoServices.framework/Versions/A/XPCServices/com.apple.geod.xpc/Contents/MacOS/com.apple.geod
root               410   0.0  0.0  4304388   5428   ??  Ss   121117    0:01.57 /System/Library/CoreServices/CrashReporterSupportHelper server-init
mateseries         409   0.0  0.0  4304408   5764   ??  S    121117    0:02.94 /System/Library/PrivateFrameworks/CommunicationsFilter.framework/CMFSyncAgent.app/Contents/MacOS/CMFSyncAgent
mateseries         408   0.0  0.1  4378636  24176   ??  S    121117    0:04.37 /System/Library/PrivateFrameworks/ContactsDonation.framework/Versions/A/Support/contactsdonationagent
mateseries         405   0.0  0.2  4379392  34500   ??  S    121117    0:13.86 /System/Library/PrivateFrameworks/PassKitCore.framework/passd
mateseries         403   0.0  0.1  4336252  19688   ??  S    121117    0:02.98 /System/Library/PrivateFrameworks/CoreCDP.framework/Versions/A/Resources/cdpd
mateseries         402   0.0  0.1  4331904  13300   ??  S    121117    0:03.69 /System/Library/PrivateFrameworks/ProtectedCloudStorage.framework/Helpers/ProtectedCloudKeySyncing
mateseries         401   0.0  0.1  4304476  21136   ??  S    121117    0:03.14 /System/Library/CoreServices/EscrowSecurityAlert.app/Contents/MacOS/EscrowSecurityAlert
mateseries         400   0.0  0.2  4337084  25812   ??  S    121117    0:11.61 /System/Library/CoreServices/Keychain Circle Notification.app/Contents/MacOS/Keychain Circle Notification
mateseries         398   0.0  0.1  4330584  23400   ??  S    121117    0:03.47 /System/Library/PrivateFrameworks/PhotoAnalysis.framework/Versions/A/Support/photoanalysisd
mateseries         396   0.0  0.1  4330792   9184   ??  S    121117    0:01.71 /System/Library/PrivateFrameworks/QuickLookThumbnailing.framework/Support/com.apple.quicklook.ThumbnailsAgent
mateseries         394   0.0  0.1  4304628   8876   ??  S    121117    0:01.67 /System/Library/PrivateFrameworks/CoreFollowUp.framework/Versions/A/Support/followupd
mateseries         393   0.0  0.6  4604364  93388   ??  S    121117    0:20.52 /System/Library/PrivateFrameworks/CoreSuggestions.framework/Versions/A/Support/suggestd
mateseries         392   0.0  0.3  4421412  42648   ??  S    121117    0:33.29 /System/Library/CoreServices/cloudphotosd.app/Contents/MacOS/cloudphotosd
mateseries         391   0.0  0.1  4304564   9936   ??  S    121117    0:03.09 /System/Library/Frameworks/Security.framework/Versions/A/Resources/KeychainSyncingOverIDSProxy.bundle/Contents/MacOS/KeychainSyncingOverIDSProxy
mateseries         390   0.0  0.0  4304960   6276   ??  S    121117    0:02.05 /System/Library/Frameworks/CoreServices.framework/Versions/A/Frameworks/DictionaryServices.framework/Versions/A/XPCServices/com.apple.DictionaryServiceHelper.xpc/Contents/MacOS/com.apple.DictionaryServiceHelper
mateseries         389   0.0  0.1  4338276  12888   ??  S    121117    0:13.04 /System/Library/CoreServices/WiFiAgent.app/Contents/MacOS/WiFiAgent
mateseries         388   0.0  0.0  4304416   4840   ??  Ss   121117    0:00.01 /System/Library/PrivateFrameworks/IMFoundation.framework/XPCServices/IMRemoteURLConnectionAgent.xpc/Contents/MacOS/IMRemoteURLConnectionAgent
mateseries         387   0.0  0.1  4330716  13140   ??  S    121117    0:03.22 /System/Library/PrivateFrameworks/AskPermission.framework/Versions/A/Resources/askpermissiond
mateseries         386   0.0  0.0  4304932   5120   ??  S    121117    0:01.81 /System/Library/CoreServices/APFSUserAgent
mateseries         385   0.0  0.1  4332268  12992   ??  Ss   121117    0:03.76 /System/Library/PrivateFrameworks/IMFoundation.framework/XPCServices/IMRemoteURLConnectionAgent.xpc/Contents/MacOS/IMRemoteURLConnectionAgent
mateseries         384   0.0  0.2  4381076  27516   ??  S    121117    0:11.71 /usr/libexec/fmfd
mateseries         383   0.0  0.2  4349364  37540   ??  S    121117    1:23.26 /usr/libexec/sharingd
mateseries         382   0.0  0.1  4333668  10688   ??  S    121117    0:20.33 /System/Library/PrivateFrameworks/UserActivity.framework/Agents/useractivityd
mateseries         381   0.0  0.2  4347152  28604   ??  S    121117    0:04.88 /System/Library/PrivateFrameworks/MessagesKit.framework/Resources/soagent.app/Contents/MacOS/soagent
mateseries         380   0.0  0.1  4372980  13676   ??  Ss   121117    0:11.26 /System/Library/PrivateFrameworks/IMFoundation.framework/XPCServices/IMRemoteURLConnectionAgent.xpc/Contents/MacOS/IMRemoteURLConnectionAgent
mateseries         379   0.0  0.3  4400116  50704   ??  S    121117    0:30.84 /System/Library/PrivateFrameworks/CalendarAgent.framework/Executables/CalendarAgent
mateseries         378   0.0  0.1  4332644  11264   ??  S    121117    0:02.21 /usr/libexec/networkserviceproxy
mateseries         377   0.0  0.4  4555396  64480   ??  S    121117    1:22.88 /System/Library/CoreServices/NotificationCenter.app/Contents/MacOS/NotificationCenter
mateseries         375   0.0  0.1  4332928  12796   ??  S    121117    0:05.81 /usr/sbin/usernoted
mateseries         374   0.0  0.1  4336316  18752   ??  S    121117    0:43.43 /usr/libexec/nsurlstoraged
mateseries         373   0.0  0.1  4380400  17852   ??  S    121117    0:13.14 /System/Library/PrivateFrameworks/AuthKit.framework/Versions/A/Support/akd
root               372   0.0  0.1  4332256   8780   ??  Ss   121117    0:27.10 /usr/sbin/wirelessproxd
mateseries         370   0.0  0.1  4304488  15936   ??  S    121117    0:04.59 /System/Library/Frameworks/AddressBook.framework/Executables/ContactsAccountsService
mateseries         369   0.0  0.1  4374832  22916   ??  S    121117    0:31.84 /usr/libexec/nsurlsessiond
mateseries         368   0.0  0.1  4332008  16276   ??  S    121117    0:02.04 /System/Library/PrivateFrameworks/IMDPersistence.framework/XPCServices/IMDPersistenceAgent.xpc/Contents/MacOS/IMDPersistenceAgent
mateseries         366   0.0  0.1  4336388  11484   ??  S    121117    0:07.60 /System/Library/PrivateFrameworks/TCC.framework/Resources/tccd
mateseries         365   0.0  0.1  4334868  23600   ??  S    121117    0:05.81 /System/Library/PrivateFrameworks/IMCore.framework/imagent.app/Contents/MacOS/imagent
mateseries         364   0.0  0.2  4349312  36980   ??  S    121117    0:15.92 /System/Library/PrivateFrameworks/IDS.framework/identityservicesd.app/Contents/MacOS/identityservicesd
mateseries         363   0.0  0.3  4362388  53636   ??  S    121117    0:28.71 /System/Library/Frameworks/Accounts.framework/Versions/A/Support/accountsd
mateseries         361   0.0  0.2  4338852  30712   ??  S    121117    0:05.72 /System/Library/PrivateFrameworks/TelephonyUtilities.framework/callservicesd
root               360   0.0  0.1  4331436  18104   ??  Ss   121117    0:26.04 /usr/sbin/WirelessRadioManagerd
mateseries         359   0.0  0.0  4304992   7616   ??  S    121117    0:01.88 /System/Library/Frameworks/Security.framework/Versions/A/Resources/CloudKeychainProxy.bundle/Contents/MacOS/CloudKeychainProxy
mateseries         358   0.0  0.3  4399320  44676   ??  S    121117    0:58.24 /System/Library/PrivateFrameworks/CloudKitDaemon.framework/Support/cloudd
mateseries         356   0.0  0.1  4337352  21472   ??  S    121117    0:16.02 /usr/libexec/secd
mateseries         355   0.0  0.2  4339240  28856   ??  S    121117    0:26.71 /usr/libexec/secinitd
mateseries         354   0.0  0.0  4331108   7028   ??  S    121117    0:03.56 /usr/libexec/languageassetd --firstLogin
mateseries         352   0.0  0.1  4344736  21660   ??  S    121117    0:26.21 /usr/libexec/lsd
mateseries         351   0.0  0.2  4351628  27248   ??  S    121117    2:08.95 /usr/libexec/trustd --agent
mateseries         350   0.0  0.2  4343664  29940   ??  S    121117    1:05.25 /System/Library/Frameworks/CoreTelephony.framework/Support/CommCenter -L
mateseries         347   0.0  0.1  4305588   9144   ??  S    121117    4:54.40 /usr/sbin/distnoted agent
